title_clean,rank,score,conf,archetype,n,pos,recent_n,recent_pos_adj,momentum,deep_pos_adj,median_hours,q_pos_std,stability_unmeasured,protest_flag,protest_quarter,text_pos_mean,top_complaint,top_complaint_share,top_praise,publisher_conduct_share,c_overall_positivity,c_recent_positivity,c_review_velocity,c_deep_player_positivity,c_sentiment_stability,c_engagement_depth
Slay the Spire,1,91.04736930654805,High,Rising Star,231,0.9913419913419913,215,0.9951707551707552,17.916666666666668,0.9918302249129317,107.0,,True,False,,0.7925796222906378,,,fun & enjoyment,,0.9913419913419913,0.9951707551707552,0.8657808592756493,0.9918302249129317,0.7251798900828699,0.6287729299215792
Terraria,2,90.56306282903743,High,Evergreen,239,1.0,9,1.0,0.12162162162162163,1.0,283.0,0.0,False,False,,0.7798022554654007,,,fun & enjoyment,,1.0,1.0,0.370870855269162,1.0,1.0,1.0
Subnautica,3,89.99261153271719,High,Evergreen,204,1.0,90,1.0,2.4324324324324325,1.0,60.0,0.0,False,False,,0.7854933593502429,,,story & world,,1.0,1.0,0.7265513566778139,1.0,1.0,0.409434118254999
RimWorld,4,89.17200703262331,High,Evergreen,184,1.0,18,1.0,0.8571428571428571,1.0,131.0,0.0,False,False,,0.7414985150161415,,,story & world,,1.0,1.0,0.47425244166389635,1.0,1.0,0.705822040766487
Left 4 Dead 2,5,87.577151702769,High,Evergreen,202,0.995049504950495,67,0.9993570785649993,2.9130434782608696,0.9994999499949995,82.5,,True,False,,0.7527901916929263,,,friends & social,,0.995049504950495,0.9993570785649993,0.679624147743724,0.9994999499949995,0.7251798900828699,0.5299864616044604
Stardew Valley,6,85.71683804950142,High,Evergreen,183,1.0,7,1.0,0.25,1.0,91.5,0.0,False,False,,0.7938830324660514,,,fun & enjoyment,,1.0,1.0,0.3349297558607185,1.0,1.0,0.5692891711590637
RESIDENT EVIL 2 / BIOHAZARD RE:2,7,85.58364201026542,High,New Release (Unproven),496,0.9858870967741935,496,0.9858870967741936,,0.9239247311827957,21.0,,True,False,,0.7731985364968453,,,value for money,,0.9858870967741935,0.9858870967741936,1.0,0.9239247311827957,0.7251798900828699,0.01786173029851176
Factorio,8,84.87003243291265,High,Evergreen,158,1.0,1,1.0,0.2,1.0,176.5,0.0,False,False,,0.7007983127807256,,,fun & enjoyment,,1.0,1.0,0.11164325195357283,1.0,1.0,0.8195383653609053
Insurgency: Sandstorm,9,83.0305013591557,High,New Release (Unproven),208,0.9423076923076923,208,0.9423076923076924,,0.9507211538461539,30.0,,True,False,,0.7101230481462564,,,fun & enjoyment,,0.9423076923076923,0.9423076923076924,0.8604746374795764,0.9507211538461539,0.7251798900828699,0.14953809730564335
Euro Truck Simulator 2,10,80.87528070407274,High,Evergreen,331,1.0,0,1.0,,1.0,96.0,0.0,False,False,,0.8005672408850519,,,fun & enjoyment,,1.0,1.0,0.0,1.0,1.0,0.5875280704072734
ACE COMBAT 7: SKIES UNKNOWN,11,78.45348175420558,Low,Insufficient Data,8,1.0,8,1.0,,1.0,25.5,,True,False,,0.592572744557019,,,,,1.0,1.0,0.35390073560995383,1.0,0.7251798900828699,0.08931718192275702
"Warhammer 40,000: Mechanicus",12,77.27574523873947,Low,Insufficient Data,7,1.0,7,1.0,,1.0,20.0,,True,False,,0.7177839579740634,,,,,1.0,1.0,0.3349297558607185,1.0,0.7251798900828699,0.0
ASTRONEER,13,77.0577733428282,High,Solid Performer,577,0.8613518197573656,126,0.8942170455703945,1.68,0.8001877527440785,29.0,0.03745806044860689,False,False,,0.7129521507570593,bugs & stability,0.3875,fun & enjoyment,0.2625,0.8613518197573656,0.8942170455703945,0.7802394853093811,0.8001877527440785,0.8256987429612783,0.13694818382846588
Beat Saber,14,76.63649118973488,Low,Insufficient Data,10,1.0,3,1.0,0.42857142857142855,1.0,26.5,,True,False,,0.6614536237917275,,,,,1.0,1.0,0.22328650390714566,1.0,0.7251798900828699,0.10353947302990016
Rust,15,72.8648254196431,High,Volatile Giant,2291,0.6643387167175906,213,0.7024367137541521,1.4013157894736843,0.7681510987613838,187.5,0.08653808310346632,False,False,,0.587318959365739,servers & connectivity,0.2634338138925295,fun & enjoyment,0.1140235910878112,0.6643387167175906,0.7024367137541521,0.8642825492530495,0.7681510987613838,0.5973177338599622,0.8426247584216208
Overcooked! 2,16,71.59927465050419,Low,Insufficient Data,10,0.9,7,0.9411764705882353,2.3333333333333335,0.9,20.0,,True,False,,0.5595476693071287,,,,,0.9,0.9411764705882353,0.3349297558607185,0.9,0.7251798900828699,0.0
PLAYERUNKNOWN'S BATTLEGROUNDS,17,70.61482821778759,High,Volatile Giant,2539,0.6833398975974794,242,0.6025134879999,0.4801587301587302,0.7156344091985044,238.0,0.11344926013264565,False,False,,0.5738521756623375,bugs & stability,0.3362609786700125,fun & enjoyment,0.1580928481806775,0.6833398975974794,0.6025134879999,0.8847518390248845,0.7156344091985044,0.47209363180018826,0.9337631488512486
Dead by Daylight,18,68.9727530783054,High,Volatile Giant,1034,0.6305609284332688,210,0.6922982240196941,1.2352941176470589,0.704781697107505,112.0,0.0806618942168003,False,False,,0.5740657865789087,bugs & stability,0.2796833773087071,fun & enjoyment,0.1952506596306068,0.6305609284332688,0.6922982240196941,0.8620086220833632,0.704781697107505,0.6246610372044616,0.6461495585005813
Grand Theft Auto V,19,68.51781162965987,High,Volatile Giant,2174,0.6320147194112236,201,0.764550460635603,1.3767123287671232,0.6588800981294082,184.0,0.14604757268726357,False,True,2017Q2,0.5318079100009006,publisher conduct,0.6133501259445844,fun & enjoyment,0.6133501259445844,0.6320147194112236,0.764550460635603,0.8549876340826033,0.6588800981294082,0.32040593661354744,0.8354285485295465
MONSTER HUNTER: WORLD,20,66.66009736671074,High,Contested,774,0.6007751937984496,441,0.6674229532993005,1.3243243243243243,0.7095422665190108,108.0,0.1374208598583499,False,False,,0.5625072325714919,servers & connectivity,0.3116883116883117,fun & enjoyment,0.0454545454545454,0.6007751937984496,0.6674229532993005,0.9811100195815852,0.7095422665190108,0.3605480815133014,0.6323117380129304
Rocket League,21,66.00967204190155,High,Volatile Giant,1773,0.6057529610829103,218,0.627445305310654,1.2457142857142858,0.641673920627003,185.0,0.12318204824854287,False,False,,0.5803622577422465,servers & connectivity,0.2626262626262626,fun & enjoyment,0.1096681096681096,0.6057529610829103,0.627445305310654,0.8680025105804315,0.641673920627003,0.42680465573534476,0.837498407773619
The Elder Scrolls V: Skyrim Special Edition,22,53.63235344088875,High,Declining,977,0.638689866939611,24,0.570202902041062,0.8571428571428571,0.766044632074035,55.5,0.21490413256334365,False,True,2017Q3,0.5226063135308365,publisher conduct,0.6136363636363636,value for money,0.6136363636363636,0.638689866939611,0.570202902041062,0.5184552066311783,0.766044632074035,0.0,0.3800101811300982
Farming Simulator 19,23,45.24996866617298,Low,Insufficient Data,7,0.42857142857142855,7,0.42857142857142855,,0.44047619047619047,75.0,,True,False,,0.4738849692102039,,,,,0.42857142857142855,0.42857142857142855,0.3349297558607185,0.44047619047619047,0.7251798900828699,0.49385091417192223
