title_clean,n_nlp,n_neg,n_pos,text_pos_mean,disagree_rate,complaint: servers & connectivity,complaint: bugs & stability,complaint: cheating & enforcement,complaint: monetisation & price,complaint: publisher conduct,praise: fun & enjoyment,praise: friends & social,praise: depth & addiction,praise: story & world,praise: value for money
ACE COMBAT 7: SKIES UNKNOWN,8.0,0.0,8.0,0.592572744557019,0.0,,,,,,,,,,
ASTRONEER,575.0,80.0,495.0,0.7129521507570593,0.0052173913043478265,0.125,0.3875,0.0,0.1,0.2625,0.34949494949494947,0.23232323232323232,0.09090909090909091,0.1292929292929293,0.09292929292929293
Beat Saber,10.0,0.0,10.0,0.6614536237917275,0.0,,,,,,,,,,
Dead by Daylight,1025.0,379.0,646.0,0.5740657865789087,0.012682926829268294,0.2612137203166227,0.2796833773087071,0.06068601583113457,0.11609498680738786,0.19525065963060687,0.29102167182662536,0.2089783281733746,0.08204334365325078,0.05108359133126935,0.1393188854489164
Euro Truck Simulator 2,327.0,0.0,327.0,0.8005672408850519,0.0030581039755351682,,,,,,0.20795107033639143,0.11009174311926606,0.07339449541284404,0.0581039755351682,0.11314984709480122
Factorio,157.0,0.0,157.0,0.7007983127807256,0.006369426751592357,,,,,,0.18471337579617833,0.1464968152866242,0.18471337579617833,0.06369426751592357,0.09554140127388536
Farming Simulator 19,7.0,4.0,3.0,0.47388496921020395,0.0,,,,,,,,,,
Grand Theft Auto V,2146.0,794.0,1352.0,0.5318079100009006,0.02842497670083877,0.07556675062972293,0.06297229219143577,0.1889168765743073,0.2695214105793451,0.6133501259445844,0.1760355029585799,0.125,0.04363905325443787,0.1390532544378698,0.1235207100591716
Insurgency: Sandstorm,206.0,12.0,194.0,0.7101230481462564,0.0,,,,,,0.26288659793814434,0.1134020618556701,0.03608247422680412,0.05670103092783505,0.03608247422680412
Left 4 Dead 2,197.0,1.0,196.0,0.7527901916929263,0.0,,,,,,0.20918367346938777,0.29591836734693877,0.025510204081632654,0.05612244897959184,0.1377551020408163
MONSTER HUNTER: WORLD,771.0,308.0,463.0,0.5625072325714919,0.014267185473411156,0.3116883116883117,0.30194805194805197,0.012987012987012988,0.06818181818181818,0.045454545454545456,0.2634989200863931,0.22462203023758098,0.08639308855291576,0.1511879049676026,0.1079913606911447
Overcooked! 2,10.0,1.0,9.0,0.5595476693071287,0.0,,,,,,,,,,
PLAYERUNKNOWN'S BATTLEGROUNDS,2515.0,797.0,1718.0,0.5738521756623375,0.021868787276341946,0.24968632371392724,0.33626097867001253,0.21957340025094102,0.2095357590966123,0.15809284818067754,0.20430733410942956,0.09953434225844005,0.050058207217694994,0.016880093131548313,0.10360884749708964
RESIDENT EVIL 2 / BIOHAZARD RE:2,489.0,7.0,482.0,0.7731985364968453,0.002044989775051125,,,,,,0.10995850622406639,0.022821576763485476,0.06224066390041494,0.15767634854771784,0.16390041493775934
RimWorld,184.0,0.0,184.0,0.7414985150161415,0.005434782608695652,,,,,,0.125,0.06521739130434782,0.07608695652173914,0.15217391304347827,0.06521739130434782
Rocket League,1752.0,693.0,1059.0,0.5803622577422465,0.015410958904109588,0.26262626262626265,0.1240981240981241,0.08080808080808081,0.13997113997113997,0.10966810966810966,0.2927289896128423,0.1369216241737488,0.09442870632672333,0.004721435316336166,0.09442870632672333
Rust,2267.0,763.0,1504.0,0.587318959365739,0.013674459638288486,0.2634338138925295,0.21494102228047182,0.1258191349934469,0.08650065530799476,0.11402359108781127,0.18949468085106383,0.16489361702127658,0.05452127659574468,0.03590425531914894,0.08311170212765957
Slay the Spire,228.0,2.0,226.0,0.7925796222906378,0.0043859649122807015,,,,,,0.2831858407079646,0.05752212389380531,0.21238938053097345,0.084070796460177,0.10619469026548672
Stardew Valley,183.0,0.0,183.0,0.7938830324660514,0.0,,,,,,0.22404371584699453,0.13114754098360656,0.15846994535519127,0.14754098360655737,0.09836065573770492
Subnautica,204.0,0.0,204.0,0.7854933593502429,0.0,,,,,,0.23039215686274508,0.058823529411764705,0.0784313725490196,0.3235294117647059,0.14215686274509803
Terraria,238.0,0.0,238.0,0.7798022554654007,0.004201680672268907,,,,,,0.29411764705882354,0.18067226890756302,0.15546218487394958,0.14285714285714285,0.15546218487394958
The Elder Scrolls V: Skyrim Special Edition,971.0,352.0,619.0,0.5226063135308365,0.010298661174047374,0.05965909090909091,0.375,0.008522727272727272,0.2727272727272727,0.6136363636363636,0.10339256865912763,0.0630048465266559,0.061389337641357025,0.13247172859450726,0.5363489499192245
"Warhammer 40,000: Mechanicus",7.0,0.0,7.0,0.7177839579740634,0.0,,,,,,,,,,
