row_id,title_clean,rec,text_pos_proba,vader_compound,disagree_down_but_positive,disagree_up_but_negative
0,Rust,1,0.9307538263599565,-0.6908,False,False
1,Euro Truck Simulator 2,1,0.6853476585038093,0.296,False,False
2,Rust,1,0.8032409477442642,0.4404,False,False
3,Dead by Daylight,1,0.7724074434910606,0.0,False,False
4,Grand Theft Auto V,0,0.4610439275502033,-0.7922,False,False
5,MONSTER HUNTER: WORLD,0,0.6392927417933891,0.0,False,False
6,Dead by Daylight,1,0.7808942099311509,0.8888,False,False
7,Dead by Daylight,1,0.9404369362313474,0.7269,False,False
8,ASTRONEER,1,0.8450092369321588,0.4748,False,False
9,Rust,1,0.9613880416405403,0.5563,False,False
10,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.7301336030129718,-0.6341,False,False
11,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.8295231775092305,0.8248,False,False
12,Left 4 Dead 2,1,0.9263467160292366,0.9022,False,False
13,Grand Theft Auto V,1,0.8182102421783958,0.659,False,False
14,MONSTER HUNTER: WORLD,1,0.7367714994109759,0.8707,False,False
15,Grand Theft Auto V,1,0.23839904449129284,0.9371,False,False
16,ASTRONEER,0,0.3546784695711282,0.8962,False,False
17,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.8386799948999859,0.9958,False,False
18,Rocket League,1,0.8051227239667142,-0.5106,False,False
19,RESIDENT EVIL 2 / BIOHAZARD RE:2,1,0.8355550246692068,0.2263,False,False
20,Rust,1,0.8080353534585657,0.9394,False,False
21,Rocket League,1,0.7331082729324516,0.9568,False,False
22,Grand Theft Auto V,1,0.9407393311307102,0.6369,False,False
23,Grand Theft Auto V,1,0.491465626014153,0.3291,False,False
24,Dead by Daylight,1,0.3836922737458264,-0.9236,False,False
25,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.9828268804456669,0.4404,False,False
26,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.38284839223856826,0.5023,False,False
27,The Elder Scrolls V: Skyrim Special Edition,1,0.6839236260750121,0.856,False,False
28,Dead by Daylight,1,0.9640620714481148,0.4215,False,False
29,Grand Theft Auto V,1,0.5807959345682537,0.0,False,False
30,Rocket League,1,0.6715197162151051,0.0,False,False
31,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.9804953460504627,0.7841,False,False
32,Dead by Daylight,0,0.28932454030515325,-0.9838,False,False
33,ASTRONEER,1,0.6812798940143575,0.9635,False,False
34,Rocket League,0,0.12400645205074362,-0.6261,False,False
35,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.31420039646442943,0.0,False,False
36,PLAYERUNKNOWN'S BATTLEGROUNDS,1,0.9523316289213996,0.8748,False,False
37,Rocket League,0,0.1746884570046218,-0.4588,False,False
38,Dead by Daylight,1,0.9709425853502538,0.4926,False,False
